,Country,IDH,PIB PC,Host,Total atletas,Hombres participantes,Mujeres participantes,Gobierno,Paridad,Poblacion,Population,Oro,Plata,Bronce,Medals
1,GER,0.934,42098.92,0,418,224,194,0,0.46,82348669,82.349,17,10,15,42
2,AUS,0.938,49971.13,0,420,208,212,0,0.5,24190907,24.191,8,11,10,29
3,BRA,0.758,8710.1,1,462,255,207,0,0.45,206163058,206.163,7,6,6,19
4,CAN,922,42279.9,0,310,127,183,0,0.59,36109487,36.109,4,3,15,22
5,CHN,0.748,8078.79,0,392,151,241,1,0.61,1378665000,1378.665,26,18,26,70
6,PRK,0.625,663,0,31,11,20,1,0.65,25307744,25.308,2,3,2,7
7,KOR,0.9,27623.29,0,207,103,104,0,0.5,51217803,51.218,9,3,9,21
8,CUB,0.774,8060.8,0,117,83,34,1,0.29,11335109,11.335,5,2,4,11
9,USA,0.922,57927.52,0,555,264,291,0,0.52,322941311,322.941,46,37,38,121
10,ESP,0.889,26505.34,0,307,164,143,0,0.47,46484062,46.484,7,4,6,17
11,ETH,0.457,717.12,0,37,17,20,0,0.54,103603501,103.604,1,2,5,8
12,FRA,0.899,37038.96,0,392,225,167,0,0.43,66721256,66.721,10,18,14,42
13,GBR,0.92,41064.13,0,360,201,159,0,0.44,65611593,65.612,27,23,17,67
14,GRE,0.868,18116.46,0,92,56,36,0,0.39,10775971,10.776,3,1,2,6
15,HUN,0.835,12992.38,0,160,90,70,0,0.44,9814023,9.814,8,3,4,15
16,IND ,0.636,1729.27,0,112,61,51,0,0.46,1324509589,1324.51,0,1,1,2
17,INA,0.691,3562.85,0,28,17,11,0,0.39,261554226,261.554,1,2,0,3
18,IRI,0.796,5265.91,0,63,54,9,0,0.14,79564016,79.564,3,1,4,8
19,ITA,0.878,30936.13,0,309,168,141,0,0.46,60627498,60.627,8,12,8,28
20,JAM,0.732,4843.34,0,56,25,31,0,0.55,2906238,2.906,6,3,2,11
21,JPN,0.907,38794.33,0,335,171,164,0,0.49,126994511,126.995,12,8,21,41
22,KEN,0.585,1410.53,0,79,46,33,0,0.42,49051686,49.052,6,6,1,13
23,MEX,0.772,8739.76,0,123,79,44,0,0.36,123333376,123.333,0,3,2,5
24,NOR,0.951,70460.56,0,62,29,33,0,0.53,5234519,5.235,0,0,4,4
25,NZL,0.915,40026.85,0,192,98,97,0,0.51,4693200,4.693,4,9,5,18
26,NED,0.928,46007.85,0,237,105,132,0,0.56,17030314,17.03,8,7,4,19
27,POL,0.86,12431.58,0,234,139,95,0,0.41,37970087,37.97,2,3,6,11
28,ROU,0.807,9567.03,0,95,34,61,0,0.64,19702468,19.702,1,1,2,4
29,RUS,0.815,8745.38,0,285,143,142,1,0.5,144342396,144.342,19,17,20,56
30,THA,0.748,5978.61,0,54,26,28,0,0.52,68971331,68.971,2,2,2,6
31,TUR,0.787,10820.63,0,100,53,47,0,0.47,79821724,79.822,1,3,4,8
